Instância, Algortimo, Passos, Tempo, Memória Máxima, Nós Expandidos, Fator de Ramificação
1273561141015089131412, A_STAR_H2, 12, 0.00000, 16, 12, 2.25
1273561141015089131412, BIDIRECTIONAL_H1, 12, 0.00100, 29, 26, 2.04
1273561141015089131412, BIDIRECTIONAL_H2, 12, 0.00100, 16, 12, 2.17

5124100386971113141512, BFS, 12, 0.20605, 20106, 20138, 2.00
5124100386971113141512, IDS, 12, 0.12303, 26, 18895, 3.13
5124100386971113141512, A_STAR_H1, 12, 0.00100, 54, 38, 2.39
5124100386971113141512, A_STAR_H2, 12, 0.00000, 18, 12, 2.42
5124100386971113141512, BIDIRECTIONAL_H1, 12, 0.00100, 44, 32, 2.31
5124100386971113141512, BIDIRECTIONAL_H2, 12, 0.00100, 20, 12, 2.50

1234567891011141315120, BFS, 12, 0.15704, 15077, 15050, 2.00
1234567891011141315120, IDS, 12, 0.05401, 21, 8216, 3.14
1234567891011141315120, A_STAR_H1, 12, 0.00200, 114, 99, 2.14
1234567891011141315120, A_STAR_H2, 12, 0.00200, 53, 43, 2.21
1234567891011141315120, BIDIRECTIONAL_H1, 12, 0.00300, 151, 124, 2.20
1234567891011141315120, BIDIRECTIONAL_H2, 12, 0.00400, 96, 80, 2.17

0528614391071213141115, BFS, 14, 0.71116, 50090, 50860, 1.98
0528614391071213141115, IDS, 14, 0.33207, 27, 49543, 3.13
0528614391071213141115, A_STAR_H1, 14, 0.00200, 53, 48, 2.08
0528614391071213141115, A_STAR_H2, 14, 0.00100, 30, 26, 2.12
0528614391071213141115, BIDIRECTIONAL_H1, 14, 0.00100, 34, 28, 2.14
0528614391071213141115, BIDIRECTIONAL_H2, 14, 0.00100, 32, 26, 2.15

2348167125101411913150, BFS, 14, 0.71716, 53754, 54558, 1.99
2348167125101411913150, IDS, 14, 0.31907, 26, 45225, 3.13
2348167125101411913150, A_STAR_H1, 14, 0.00000, 36, 33, 2.06
2348167125101411913150, A_STAR_H2, 14, 0.00100, 13, 14, 1.86
2348167125101411913150, BIDIRECTIONAL_H1, 14, 0.00100, 46, 40, 2.10
2348167125101411913150, BIDIRECTIONAL_H2, 14, 0.00000, 14, 14, 1.86

1283957413610111401512, BFS, 14, 0.88020, 59454, 60779, 1.98
1283957413610111401512, IDS, 14, 0.45610, 27, 68688, 3.13
1283957413610111401512, A_STAR_H1, 14, 0.00100, 54, 44, 2.20
1283957413610111401512, A_STAR_H2, 14, 0.00100, 24, 19, 2.21
1283957413610111401512, BIDIRECTIONAL_H1, 14, 0.00200, 82, 70, 2.14
1283957413610111401512, BIDIRECTIONAL_H2, 14, 0.00100, 42, 34, 2.18

1204568791031213141115, BFS, 14, 1.16826, 73267, 75046, 1.98
1204568791031213141115, IDS, 14, 0.31907, 27, 48470, 3.13
